,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,41.35124034881592,25.14624511193658,0.08071990013122558,0.013614240138300973,True,"(50,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.6967209355652374,0.78081017211452,0.6943378995433789,0.768609942474457,0.6861303344867359,0.7253218568368658,0.04066154257229064,7
1,44.62787857055664,27.55345307882414,0.09136404991149902,0.013491049762836731,True,"(50,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.6967209355652374,0.78081017211452,0.6943378995433789,0.768609942474457,0.6861303344867359,0.7253218568368658,0.04066154257229064,7
2,48.265038919448855,10.342024358354422,0.16316518783569336,0.018601938566261158,True,"(100,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.7648668606924112,0.7098259508242012,0.7004101963082332,0.7436398328184626,0.7604443217297114,0.735837432474604,0.02623269102714717,5
3,48.64879612922668,10.291896646967643,0.15837702751159669,0.0075532647025335605,True,"(100,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.7648668606924112,0.7098259508242012,0.7004101963082332,0.7436398328184626,0.7604443217297114,0.735837432474604,0.02623269102714717,5
4,102.75176048278809,19.326207732873968,0.31116671562194825,0.0370663368060407,True,"(200,)",constant,"{'early_stopping': True, 'hidden_layer_sizes': (200,), 'learning_rate': 'constant'}",0.7585381279363932,0.7745919904921581,0.7603619510041932,0.7318142992358659,0.7715030770835507,0.7593618891504322,0.015099091679016716,3
5,99.92228288650513,20.806755384330224,0.30538239479064944,0.039650098062179256,True,"(200,)",adaptive,"{'early_stopping': True, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive'}",0.7585381279363932,0.7745919904921581,0.7603619510041932,0.7318142992358659,0.7715030770835507,0.7593618891504322,0.015099091679016716,3
6,49.3437135219574,16.567893802382894,0.081781005859375,0.008647663394697674,False,"(50,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}",0.7806102439407011,0.7536085084831604,0.7554868624420401,0.7269610808630772,0.25183038438072,0.6536994160219398,0.20165061833563608,11
7,51.87739362716675,17.740427404089523,0.08497734069824218,0.00247806227498204,False,"(50,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive'}",0.7806102439407011,0.7536085084831604,0.7554868624420401,0.7269610808630772,0.25183038438072,0.6536994160219398,0.20165061833563608,11
8,68.35356912612914,23.763673086314864,0.19595627784729003,0.03455936252207041,False,"(100,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}",0.7767167861168415,0.6662301265093377,0.4157864735271435,0.7620718788587768,0.7343669956627163,0.6710344521349632,0.1331481820965955,9
9,67.59568419456483,23.24603591402451,0.19149045944213866,0.03131505017842973,False,"(100,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive'}",0.7767167861168415,0.6662301265093377,0.4157864735271435,0.7620718788587768,0.7343669956627163,0.6710344521349632,0.1331481820965955,9
10,478.0065275192261,95.96655469084698,0.5158255577087403,0.015991745505874393,False,"(200,)",constant,"{'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'constant'}",0.7769330974277215,0.7728953478373032,0.7831661205966748,0.7632691924448085,0.7814349496417818,0.775539741589658,0.007105149820540277,1
11,478.8073715686798,98.9858982679428,0.5129815101623535,0.01289985079747593,False,"(200,)",adaptive,"{'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive'}",0.7769330974277215,0.7728953478373032,0.7831661205966748,0.7632691924448085,0.7814349496417818,0.775539741589658,0.007105149820540277,1
